%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413812374946444862,62,65,118,152,178,190,200,209
1413812375048790000,86,83,127,157,181,191,201,209
1413812375151129731,53,64,121,161,205,334,283,257
1413812375253583089,84,83,126,156,182,254,256,253
1413812375356087097,57,63,116,150,174,218,234,241
1413812375454626708,88,82,127,156,177,203,220,231
1413812375560767525,57,77,121,154,177,195,211,222
1413812375663178849,90,91,129,158,180,193,207,217
1413812375765362876,53,79,128,158,181,192,204,213
1413812375868194365,89,93,134,161,184,193,204,212
1413812375969245784,61,80,130,160,183,193,203,210
1413812376068905696,89,81,128,159,183,193,202,210
1413812376171180329,72,80,130,168,210,337,286,260
1413812376273346937,89,76,125,156,183,255,258,255
1413812376379819792,85,84,128,157,179,221,237,244
1413812376494139194,91,81,127,156,178,204,222,232
1413812376581078541,71,84,129,157,180,198,213,224
1413812376683647921,96,80,127,157,180,194,207,218
1413812376788815817,54,87,130,157,181,193,205,214
1413812376889668922,100,84,129,160,183,193,204,212
1413812376986563993,42,84,128,158,182,196,203,211
1413812377091849340,93,96,135,163,185,195,204,211
1413812377240433192,51,89,136,171,212,338,287,261
1413812377295276557,93,115,145,169,191,260,262,257
1413812377396512230,73,93,136,164,184,226,241,246
1413812377500131121,95,140,160,178,192,214,229,238
1413812377604247363,85,93,140,170,189,205,219,229
1413812377721054874,94,135,159,180,196,205,216,225
1413812377838099390,92,92,140,170,192,201,212,220
1413812377922824050,102,83,132,164,189,199,210,217
1413812378011656305,92,91,134,164,187,197,208,215
1413812378113084490,121,49,113,151,180,191,204,212
1413812378215813868,94,92,132,167,209,336,287,262
1413812378339369880,106,56,114,149,179,253,257,255
1413812378434929698,94,95,130,157,178,221,237,244
1413812378522816229,63,80,126,156,177,205,222,233
1413812378620340766,96,97,134,161,181,198,214,224
1413812378734818421,22,57,115,151,175,191,205,216
1413812378859390679,91,95,131,159,181,192,206,214
1413812378928391527,62,56,115,151,177,189,201,209
1413812379056353951,93,87,127,157,180,191,202,209
1413812379155695344,55,72,125,163,206,334,283,257
1413812379237952909,94,94,133,160,184,255,257,253
1413812379338337387,11,87,129,158,179,221,236,243
1413812379439477972,93,136,156,175,189,211,226,233
1413812379558748988,58,91,138,167,187,203,218,227
1413812379645272479,94,140,161,180,196,205,215,223
1413812379746818472,92,91,140,170,191,201,211,219
1413812379844888068,112,96,139,168,189,200,209,217
1413812379959561207,100,91,135,165,189,199,207,215
1413812380053053924,133,140,161,180,197,204,211,217
1413812380155086162,94,91,143,178,219,343,291,265
1413812380287726534,91,139,162,181,200,268,268,262
1413812380375657277,93,92,139,169,189,231,245,251
1413812380462186807,114,87,134,165,183,212,227,239
1413812380562626069,98,96,136,165,186,204,219,230
1413812380667710964,133,45,111,151,178,195,209,221
1413812380768331401,93,92,128,158,181,193,206,216
1413812380870987341,98,45,109,147,175,188,201,212
1413812380972105695,90,93,128,156,180,191,201,210
1413812381088358924,10,72,121,153,178,189,200,207
1413812381181442182,91,97,137,170,210,336,285,259
1413812381279868562,2,87,130,159,184,255,256,254
1413812381391436707,94,91,132,161,181,222,238,244
1413812381482503947,53,95,135,162,181,207,223,232
1413812381588476958,94,83,130,160,182,200,215,225
1413812381685753943,84,91,133,162,183,196,209,219
1413812381786590952,93,103,139,165,187,197,207,216
1413812381892385626,100,91,135,164,186,196,206,214
1413812381992542845,93,138,159,178,195,202,209,215
1413812382093328524,35,92,139,168,191,199,208,214
1413812382197176313,93,149,171,194,227,348,295,267
1413812382318708204,83,93,142,172,196,265,266,261
1413812382414913360,109,110,147,172,191,233,246,252
1413812382500374572,94,97,138,167,187,213,229,239
1413812382608927573,128,63,121,157,182,201,218,230
1413812382706412736,91,89,131,160,183,197,211,222
1413812382813614394,121,44,110,149,176,190,204,214
1413812383036471288,106,64,119,153,179,190,201,210
