%time,field
1416504188712867009,180
1416504188738399030,184
1416504188757979262,179
1416504188778823113,179
1416504188803145784,179
1416504188823818662,179
1416504188848322525,180
1416504188868558202,180
1416504188889669828,199
1416504188914563699,180
1416504188934375586,178
1416504188955983177,181
1416504188978989907,179
1416504189000976672,181
1416504189024534271,180
1416504189044993164,179
1416504189065972500,181
1416504189090193432,178
1416504189110090442,179
1416504189135014306,180
1416504189155104664,181
1416504189176830557,180
1416504189200595651,180
1416504189221148236,180
1416504189242712213,180
1416504189266487971,182
1416504189286740092,179
1416504189310773679,180
1416504189331389447,180
1416504189356161029,180
1416504189376753119,180
1416504189397056831,183
1416504189421552013,178
1416504189442428337,180
1416504189462568849,179
1416504189487427374,181
1416504189507768646,180
1416504189532009853,181
1416504189552911144,180
1416504189573388348,174
1416504189597773952,178
1416504189618499424,180
1416504189638953401,176
1416504189663418215,180
1416504189683970059,180
1416504189708442119,180
1416504189728914512,180
1416504189749368339,182
1416504189774005007,177
1416504189794959889,179
1416504189818860169,179
1416504189838989595,180
1416504189860077162,180
1416504189884545765,179
1416504189905114286,180
1416504189925669979,179
1416504189950124359,183
1416504189970668640,180
1416504189994968335,179
1416504190014986063,181
1416504190036153052,179
1416504190060720157,181
1416504190080858598,177
1416504190101844746,176
1416504190126208641,180
1416504190146356289,179
1416504190171245520,184
1416504190191263193,180
1416504190212008199,182
1416504190236847165,184
1416504190257304761,181
1416504190277916284,179
1416504190301969356,183
1416504190322909012,179
1416504190347352478,180
1416504190367871833,180
1416504190388501022,179
1416504190413318349,177
1416504190433079902,178
1416504190458205634,180
1416504190478497148,182
1416504190498955374,180
1416504190523314237,179
1416504190543975680,181
1416504190564506160,184
1416504190589013861,179
1416504190609039896,179
1416504190634504688,180
1416504190654670522,180
1416504190675259394,180
1416504190699452708,180
1416504190720183597,179
1416504190740624274,177
1416504190764686456,178
1416504190785881932,181
1416504190810472722,180
1416504190830249143,181
1416504190850809421,180
1416504190875668448,180
1416504190896290240,185
1416504190916876171,181
1416504190941303510,179
1416504190962156416,180
1416504190985933326,179
1416504191006503830,180
1416504191027682696,181
1416504191051604379,179
1416504191072413636,181
1416504191096974803,179
1416504191117371751,183
1416504191138081627,180
1416504191162671284,181
1416504191182909698,177
1416504191203777131,181
1416504191227728602,182
1416504191248569460,184
1416504191273371964,179
1416504191293495051,180
1416504191314739444,181
1416504191338583236,179
1416504191358720596,181
1416504191383434754,180
1416504191403836808,184
1416504191424702683,178
1416504191448774993,179
1416504191469558457,182
1416504191494174118,179
1416504191514816465,179
1416504191534665226,180
1416504191559120863,181
1416504191579783514,181
1416504191600868726,182
1416504191625378186,180
1416504191645260327,180
1416504191669752583,180
1416504191694253504,180
1416504191711298843,180
1416504191735341192,180
1416504191756248538,179
1416504191780938859,179
1416504191801703956,177
1416504191821928939,179
1416504191846352875,180
1416504191866795020,180
1416504191887481984,180
1416504191911468640,180
1416504191932452923,180
1416504191956505944,179
1416504191977756952,182
1416504191998084317,180
1416504192022465306,180
1416504192042902966,180
1416504192063803249,181
1416504192087975700,181
1416504192108675323,179
1416504192133081449,179
1416504192153804471,180
1416504192174021867,180
1416504192198536579,180
1416504192218748076,180
1416504192239328855,183
1416504192264225828,179
1416504192284541837,178
1416504192308888348,176
1416504192329396298,180
1416504192349895221,180
1416504192374166893,180
1416504192395097419,184
1416504192419607130,181
1416504192439892144,178
1416504192460483281,180
1416504192485405391,180
1416504192506050150,180
1416504192526049717,180
1416504192550854858,181
1416504192570986028,184
1416504192595612503,178
1416504192616062396,179
1416504192636620894,179
1416504192661458052,180
1416504192682257075,180
1416504192702203768,180
1416504192727021376,180
1416504192746997976,183
1416504192771435403,183
1416504192792471313,179
1416504192812735711,180
1416504192837551440,178
1416504192858716598,180
1416504192878260197,181
1416504192903056647,180
1416504192923651057,177
1416504192948092012,181
1416504192968741742,180
1416504192988868411,180
1416504193013716555,180
1416504193033834887,180
1416504193058827165,181
1416504193078765254,181
1416504193099788981,179
1416504193123967236,179
1416504193144938570,179
1416504193166085401,182
1416504193189447101,180
1416504193210535450,180
1416504193234709170,181
1416504193254894403,178
1416504193279696330,182
1416504193300330616,179
1416504193320983242,179
1416504193345308463,180
1416504193365879367,180
1416504193386979422,182
1416504193410528497,184
1416504193431106630,181
1416504193455509052,179
1416504193475916959,184
1416504193497028581,179
1416504193521721998,180
1416504193541626335,179
1416504193562790806,177
1416504193586878215,180
1416504193607578139,178
1416504193631694489,182
1416504193652217312,179
1416504193672879991,180
1416504193698686800,180
1416504193718254193,180
1416504193742633970,182
1416504193763069820,181
1416504193783758654,180
1416504193808203689,184
1416504193828811693,180
1416504193849233492,182
1416504193873262296,180
1416504193893622322,180
1416504193918096846,183
1416504193938794229,179
1416504193959460178,180
1416504193983903024,181
1416504194004781477,181
1416504194025513679,179
1416504194050107090,180
1416504194070415872,181
1416504194094920727,179
1416504194115348424,176
1416504194135965611,180
1416504194160410936,180
1416504194180955192,180
1416504194202235697,179
1416504194226267560,180
1416504194246059171,180
1416504194270553226,179
1416504194291253411,180
1416504194311678843,177
1416504194336835324,180
1416504194357169193,180
1416504194381663073,177
1416504194402372739,181
1416504194422747336,179
1416504194446595608,179
1416504194467595076,176
1416504194487775538,180
1416504194512359106,180
1416504194532683439,180
1416504194557722324,178
1416504194578328085,179
1416504194598630282,179
1416504194623252117,181
1416504194643611890,181
1416504194664398446,180
1416504194688939227,181
1416504194709309128,181
1416504194733797967,181
1416504194754487567,174
1416504194774971547,181
1416504194799383762,180
1416504194819913305,180
1416504194840983908,179
1416504194864577042,181
1416504194885057183,180
1416504194909948724,184
1416504194930584238,179
1416504194951700545,179
1416504194975459229,181
1416504194995787576,180
1416504195016725800,180
1416504195041020008,181
1416504195062697637,180
1416504195086020233,183
1416504195106614623,180
1416504195128419019,179
1416504195151093251,178
1416504195172201951,179
1416504195196659859,180
1416504195217042926,180
1416504195238456622,180
1416504195262097028,178
1416504195282379947,180
1416504195306908425,180
