%time,field.ch1,field.ch2,field.ch3,field.ch4,field.ch5,field.ch6,field.ch7,field.ch8
1413813797146645811,476,57,68,98,129,145,161,173
1413813797249314362,468,59,47,98,137,152,165,176
1413813797351721902,331,57,22,106,165,303,255,232
1413813797454058084,561,55,80,78,129,213,223,225
1413813797556596220,510,47,65,70,121,175,198,212
1413813797658861241,489,37,12,129,149,173,191,204
1413813797761178186,322,38,65,61,124,151,177,193
1413813797863616991,528,55,60,101,138,157,176,189
1413813797965667256,423,75,149,129,156,167,181,191
1413813798068366833,474,56,51,3,96,134,161,178
1413813798170737950,245,47,81,50,106,135,158,174
1413813798273149148,481,38,113,85,152,293,248,226
1413813798375549461,369,67,74,32,104,194,209,216
1413813798473966556,437,64,48,75,119,169,192,205
1413813798576563831,175,63,71,77,123,156,179,194
1413813798678845675,499,45,25,66,118,147,170,186
1413813798781167426,402,45,52,29,100,132,159,177
1413813798883436482,431,58,78,56,110,136,158,174
1413813798985607490,196,70,50,105,135,149,164,176
1413813799088402754,515,63,68,83,134,152,168,179
1413813799190715042,407,55,56,66,123,147,165,177
1413813799293103328,433,63,132,89,156,297,252,229
1413813799395485154,275,87,35,75,126,208,218,221
1413813799494471735,508,67,74,45,110,168,194,208
1413813799600059718,403,58,153,57,112,151,178,195
1413813799702329777,427,64,3,98,130,152,173,188
1413813799800878726,274,63,70,72,120,145,165,183
1413813799903535570,500,43,65,86,127,150,167,181
1413813800005810976,407,59,12,154,164,170,178,186
1413813800108236115,426,52,44,90,144,161,176,187
1413813800210535545,443,67,77,62,122,150,170,183
1413813800312596704,457,60,36,118,169,305,258,235
1413813800415270457,425,59,81,28,106,200,216,221
1413813800517259854,353,35,59,65,114,169,194,208
1413813800620132683,530,75,124,78,122,158,181,198
1413813800722504878,426,91,65,1,85,129,160,181
1413813800824874126,411,55,53,27,93,127,154,173
1413813800927248450,260,60,112,29,95,126,151,169
1413813801029638405,579,38,12,9,81,116,144,163
1413813801127763153,419,60,77,101,129,142,159,170
1413813801231349629,457,56,55,94,134,149,164,174
1413813801332946331,266,59,64,129,177,308,257,232
1413813801435129617,576,60,48,92,143,221,228,227
1413813801537376478,448,67,61,45,113,172,200,212
1413813801639943845,470,65,139,57,113,154,180,197
1413813801742393034,265,86,25,2,82,127,159,180
1413813801844660105,543,55,73,53,106,135,159,176
1413813801947186123,425,50,197,55,112,137,159,174
1413813802049526014,423,66,6,86,125,143,161,174
1413813802151849534,283,63,64,86,128,146,163,175
1413813802254178335,566,62,74,67,124,147,164,177
1413813802352482639,433,58,2,133,178,308,258,233
1413813802455133155,428,54,81,17,105,198,215,220
1413813802557504517,309,45,72,70,112,167,193,206
1413813802659779431,569,39,36,147,157,177,193,204
1413813802762084750,432,95,72,32,107,146,172,191
1413813802864666599,417,60,53,75,119,147,168,184
1413813802966764397,314,55,208,29,101,134,159,177
1413813803069384723,595,47,53,2,81,121,148,168
1413813803171754883,410,62,73,87,121,139,157,171
1413813803274208347,447,52,60,90,155,294,248,224
1413813803376661410,318,55,45,150,163,227,231,226
1413813803478896008,540,55,43,79,134,184,207,216
1413813803581321002,453,64,88,79,129,165,188,204
1413813803683618903,432,46,39,110,141,162,182,196
1413813803785950260,340,84,77,10,95,138,164,183
1413813803888220544,525,63,84,53,111,138,162,179
1413813803986998732,469,63,188,48,109,136,159,175
1413813804089350070,425,38,51,6,86,122,149,167
1413813804191375989,366,56,68,85,121,139,157,167
1413813804293911940,511,71,117,76,146,290,246,224
1413813804396403886,432,59,15,59,116,200,212,215
1413813804498689965,414,52,48,72,118,169,192,205
1413813804601171066,369,34,60,66,116,153,179,194
1413813804703472766,485,42,4,129,149,164,180,192
1413813804805817248,429,79,77,69,128,153,173,187
1413813804908666614,448,59,63,78,126,150,169,183
1413813805010311144,403,62,36,22,97,133,158,175
1413813805113013903,554,46,48,10,88,124,151,168
1413813805215340689,417,59,77,46,100,128,151,167
1413813805317806536,437,54,95,83,144,287,242,222
1413813805420120063,443,60,80,37,102,192,207,211
1413813805518770457,571,58,60,69,115,166,190,202
1413813805621206100,443,69,113,73,120,154,178,193
1413813805723503726,423,46,65,117,141,159,176,190
1413813805825512391,406,47,80,33,108,140,164,180
1413813805928330236,561,60,75,82,115,141,163,177
1413813806030499069,432,65,87,116,144,156,170,181
1413813806132969266,418,51,44,5,94,131,155,173
1413813806235299405,425,56,76,78,122,144,161,176
1413813806337727025,609,58,52,86,153,294,249,228
1413813806440146918,429,65,74,9,93,187,207,213
1413813806542357461,429,55,49,86,124,169,193,204
1413813806644797795,400,59,149,69,120,154,178,195
1413813806747226808,561,38,22,66,115,146,169,186
1413813806849338087,460,42,81,73,121,146,167,182
1413813806951528464,429,55,66,73,129,148,166,180
1413813807049968356,406,55,26,106,141,155,170,181
1413813807153331552,546,55,66,45,115,144,164,178
1413813807255295561,427,51,84,39,108,136,159,174
1413813807357533526,418,58,41,78,147,290,246,227
1413813807459917267,410,38,84,29,104,193,208,216
